02/10/2020|L25_01_20201002_42463|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|1277738
02/10/2020|L25_02_20201002_42465|L25|Agence AVORBAM|5441348                                 |Chèque BGFI         |BGFI BANK|88619
02/10/2020|L29_01_20201002_42460|L29|Agence FTTH|                                        |Espèces|UBA BANK|2142839
02/10/2020|L29_02_20201002_42443|L29|Agence FTTH|3051280                                 |Chèque ORABANK      |UBA BANK|70594
02/10/2020|L29_02_20201002_42443|L29|Agence FTTH|6106174                                 |Chèque BGFI         |UBA BANK|35297
02/10/2020|L29_02_20201002_42443|L29|Agence FTTH|9892197                                 |Chèque UGB          |UBA BANK|105889
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014082                                 |Chèque ECOBANK      |UGB BANK|94500000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014083                                 |Chèque ECOBANK      |UGB BANK|94500000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014084                                 |Chèque ECOBANK      |UGB BANK|94500000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014085                                 |Chèque ECOBANK      |UGB BANK|94500000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014086                                 |Chèque ECOBANK      |UGB BANK|94500000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014087                                 |Chèque ECOBANK      |UGB BANK|94500000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|0014088                                 |Chèque ECOBANK      |UGB BANK|85550000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|5877217                                 |Chèque UGB          |UGB BANK|20000000
02/10/2020|L32_02_20201005_42484|L32|DCM - distribution|6929457                                 |Chèque BICIG        |UGB BANK|74000000
02/10/2020|L32_04_20201002_42436|L32|DCM - distribution|883516                                  |BGFI  Virement      |BGFI BANK|6010200
02/10/2020|L32_04_20201002_42436|L32|DCM - distribution|883517                                  |BGFI  Virement      |BGFI BANK|5877900
02/10/2020|L39_01_20201002_42438|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|9960300
02/10/2020|L39_01_20201002_42439|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|24500
02/10/2020|L40_01_20201002_42437|L40|Agence Gamba|                                        |Espèces|BICIG BANK|171520
02/10/2020|L79_01_20201002_42474|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|1389150
02/10/2020|L79_01_20201002_42477|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|93265
02/10/2020|L80_01_20201002_42478|L80|Agence Bitam|                                        |Espèces|UGB BANK|500850
02/10/2020|L86_01_20201002_42457|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|75600
02/10/2020|L86_01_20201002_42461|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|182514
02/10/2020|L87_01_20201002_42466|L87|Agence PK8|                                        |Espèces|UBA BANK|713036
02/10/2020|M02_01_20201002_42451|M02|Agence Awendje|                                        |Espèces|UBA BANK|56700
02/10/2020|M02_01_20201002_42462|M02|Agence Awendje|                                        |Espèces|UBA BANK|3492799
02/10/2020|M02_02_20201002_42447|M02|Agence Awendje|5751983                                 |Chèque BICIG        |UBA BANK|889224
03/10/2020|L03_01_20201003_42479|L03|Agence des Arcades|                                        |Espèces|UBA BANK|1134270
03/10/2020|L22_01_20201005_42483|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2736632
03/10/2020|L22_02_20201005_42482|L22|Agence Mbolo|N°3221290                               |Chèque ORABANK      |ORABANK Recettes|184915
03/10/2020|L86_01_20201003_42480|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|85050
03/10/2020|L86_01_20201003_42481|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|142158
05/10/2020|L02_01_20201005_42493|L02|Agence Okala|                                        |Espèces|BGFI BANK|932770
05/10/2020|L02_02_20201005_42494|L02|Agence Okala|5931277                                 |Chèque UGB          |BGFI BANK|29962
05/10/2020|L02_02_20201005_42494|L02|Agence Okala|6673274                                 |Chèque BICIG        |BGFI BANK|39331
05/10/2020|L03_01_20201005_42521|L03|Agence des Arcades|                                        |Espèces|BGFI BANK|3157625
05/10/2020|L03_02_20201005_42520|L03|Agence des Arcades|4443563                                 |Chèque BICIG        |BGFI BANK|257173
05/10/2020|L03_02_20201005_42520|L03|Agence des Arcades|6757496                                 |Chèque BGFI         |BGFI BANK|146491
05/10/2020|L03_02_20201005_42520|L03|Agence des Arcades|7275003                                 |Chèque BGFI         |BGFI BANK|293897
05/10/2020|L03_02_20201005_42520|L03|Agence des Arcades|7361685                                 |Chèque BGFI         |BGFI BANK|45381
05/10/2020|L04_01_20201005_42503|L04|Agence Evolis|                                        |Espèces|BGFI BANK|843648
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|0000909                                 |Chèque UGB          |BGFI BANK|1598480
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|0777893                                 |Chèque UBA          |BGFI BANK|151270
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|0951145                                 |Chèque CITIGROUP    |BGFI BANK|1243550
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|3050337                                 |Chèque ECOBANK      |BGFI BANK|112948
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|4347784                                 |Chèque BGFI         |BGFI BANK|118697
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|5115142                                 |Chèque BGFI         |BGFI BANK|1641999
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|6938688                                 |Chèque BGFI         |BGFI BANK|828241
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|6953814                                 |Chèque BICIG        |BGFI BANK|928791
05/10/2020|L04_02_20201005_42502|L04|Agence Evolis|9850781                                 |Chèque UGB          |BGFI BANK|788224
05/10/2020|L05_01_20201005_42512|L05|Agence Principale|                                        |Espèces|UBA BANK|2370866
05/10/2020|L05_02_20201005_42497|L05|Agence Principale|0000361                                 |Chèque UGB          |UBA BANK|105000
